"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg
"Calisthenics, vigorous, pushups, situps…",471.05,563.67,654.75,744.01,1.25047708012977
"Calisthenics, vigorous, pushups, situps…",472.29,562.75,653.87,744.18,1.05722637332367
"Calisthenics, vigorous, pushups, situps…",471.45,562.37,653.46,745.74,1.37028724317122
"Calisthenics, vigorous, pushups, situps…",472.86,563.94,654.89,745.39,1.74668812221507
"Calisthenics, vigorous, pushups, situps…",471.7,563.27,653.62,744.17,0.74012267936032
"Calisthenics, vigorous, pushups, situps…",472.2,562.16,653.59,745.97,2.19981462464873
"Calisthenics, vigorous, pushups, situps…",472.35,563.71,653.89,745.95,0.6799553629677
"Calisthenics, vigorous, pushups, situps…",471.09,562.68,654.18,745.96,1.64201250647316
"Calisthenics, vigorous, pushups, situps…",471.98,563.06,654.65,744.68,1.74414345555435
"Calisthenics, vigorous, pushups, situps…",471.89,562.99,653.7,745.03,2.46712324764599
"Calisthenics, vigorous, pushups, situps…",471.46,563.45,654.37,745.26,1.18773703622273
"Calisthenics, vigorous, pushups, situps…",472.86,563.64,653.54,745.1,0.88302709497788
"Calisthenics, vigorous, pushups, situps…",471.19,562.31,654.26,744.17,2.15625731520724
"Calisthenics, vigorous, pushups, situps…",472.22,562.3,653.27,744.1,2.06809785155823
"Calisthenics, vigorous, pushups, situps…",471.79,562.58,653.06,744.6,2.63458794402813
"Calisthenics, vigorous, pushups, situps…",471.94,562.25,654.27,745.93,1.11091566058769
"Calisthenics, vigorous, pushups, situps…",471.45,563.74,654.27,745.31,1.58982722864693
"Calisthenics, vigorous, pushups, situps…",471.74,562.58,653.43,744.72,0.82009475112988
"Calisthenics, vigorous, pushups, situps…",471.48,562.68,653.79,745.55,1.96971863292761
"Calisthenics, vigorous, pushups, situps…",472.21,562.3,653.6,744.86,1.49999215660115
"Calisthenics, vigorous, pushups, situps…",471.48,562.22,653.57,744.63,2.06653863145684
"Calisthenics, vigorous, pushups, situps…",471.93,562.35,653.04,745.32,1.82303357221774
"Calisthenics, vigorous, pushups, situps…",472.92,563.35,654.28,745.37,1.81638621281563
"Calisthenics, vigorous, pushups, situps…",471.72,563.4,654.84,745.94,1.80127905493778
"Calisthenics, vigorous, pushups, situps…",471.21,562.38,653.78,745.62,2.45153592025615
"Calisthenics, vigorous, pushups, situps…",471.47,563.34,654.67,745.86,2.63542947938726
"Calisthenics, vigorous, pushups, situps…",471.39,563.9,653.84,745.83,1.97616532730127
"Calisthenics, vigorous, pushups, situps…",471.31,563.8,654.93,745.56,2.41191098227496
"Calisthenics, vigorous, pushups, situps…",471.6,562.1,653.36,745.26,1.54533808820625
"Calisthenics, vigorous, pushups, situps…",471.53,563.52,653.11,744.67,1.75336632385267
"Calisthenics, vigorous, pushups, situps…",471.57,563.71,654.83,745.84,2.11495119197762
"Calisthenics, vigorous, pushups, situps…",472.55,562.62,653.16,745.04,1.24688751887684
"Calisthenics, vigorous, pushups, situps…",471.26,562.82,654.27,744.37,0.73898244298417
"Calisthenics, vigorous, pushups, situps…",471.73,562.32,653.71,744.61,1.18239641349647
"Calisthenics, vigorous, pushups, situps…",472.67,562.98,653.59,744.55,0.79115644127001
"Calisthenics, vigorous, pushups, situps…",472.8,562.59,654.08,744.65,2.54077969379269
"Calisthenics, vigorous, pushups, situps…",471.22,563.09,654.57,744.72,1.22701181026634
"Calisthenics, vigorous, pushups, situps…",472.69,563.33,654.98,745.67,2.46831076363107
"Calisthenics, vigorous, pushups, situps…",472.28,563.34,653.2,744.67,1.58514287308535
"Calisthenics, vigorous, pushups, situps…",471.1,563.42,654.38,744.3,0.7732822309763
"Calisthenics, vigorous, pushups, situps…",471.17,563.66,653.75,745.35,0.99543913016282
"Calisthenics, vigorous, pushups, situps…",472.92,563.04,654.47,745.62,1.57191679690314
"Calisthenics, vigorous, pushups, situps…",472.05,562.39,653.13,744.28,2.39399187331829
"Calisthenics, vigorous, pushups, situps…",472.58,562.02,653.82,744.45,2.30312588166515
"Calisthenics, vigorous, pushups, situps…",471.77,563.05,654.28,744.64,1.24495943050415
"Calisthenics, vigorous, pushups, situps…",472.28,562.82,653.11,745.45,2.0202922088245
"Calisthenics, vigorous, pushups, situps…",471.73,562.45,653.18,744.67,1.52112726145049
"Calisthenics, vigorous, pushups, situps…",471.51,562.03,654.72,744.65,1.13735223616153
"Calisthenics, vigorous, pushups, situps…",472.98,562.62,654.28,745.81,1.29202084347647
"Calisthenics, vigorous, pushups, situps…",472.5,562.42,653.5,745.4,1.19836398489221
"Calisthenics, vigorous, pushups, situps…",472.84,562.96,654.38,744.75,2.39090079486383
"Calisthenics, vigorous, pushups, situps…",472.69,562.26,653.22,745.45,2.23971188509384
"Calisthenics, vigorous, pushups, situps…",471.95,562.77,654.51,745.46,1.06353104017592
"Calisthenics, vigorous, pushups, situps…",472.08,562.51,654.99,744.97,2.08559878986678
"Calisthenics, vigorous, pushups, situps…",472.06,562.73,653.97,744.72,2.40145439565389
"Calisthenics, vigorous, pushups, situps…",472.36,563.76,654.2,744.63,1.06262489192489
"Calisthenics, vigorous, pushups, situps…",471.96,562.09,654.08,745.75,0.90775156325947
"Calisthenics, vigorous, pushups, situps…",472.64,562.42,654.51,745.18,1.78494031409552
"Calisthenics, vigorous, pushups, situps…",471.28,562.06,653.28,745.78,1.84234250031653
"Calisthenics, vigorous, pushups, situps…",471.6,563.03,653.1,744.54,1.40499158274066
"Calisthenics, vigorous, pushups, situps…",471.36,563.88,653.83,745.16,2.19263723574796
"Calisthenics, vigorous, pushups, situps…",472.61,563.22,654.43,745.35,2.13875075152706
"Calisthenics, vigorous, pushups, situps…",472.76,563.43,654.68,745.66,2.18943596068394
"Calisthenics, vigorous, pushups, situps…",471.63,563.47,653.15,745.43,2.26395156421181
"Calisthenics, vigorous, pushups, situps…",471.1,562.17,654.83,745.28,2.26237462877446
"Calisthenics, vigorous, pushups, situps…",471.59,562.73,653.45,744.25,2.56234334861576
"Calisthenics, vigorous, pushups, situps…",472.23,562.42,654.93,744.82,2.13450341416819
"Calisthenics, vigorous, pushups, situps…",471.89,562.47,653.79,744.19,2.06883680833613
"Calisthenics, vigorous, pushups, situps…",472.02,563.27,654.42,744.15,2.03329963893264
"Calisthenics, vigorous, pushups, situps…",471.33,562.32,653.11,744.65,1.06822801445411
"Calisthenics, vigorous, pushups, situps…",472.68,563.79,654.02,745.82,2.61471225833752
"Calisthenics, vigorous, pushups, situps…",471.5,562.23,654.58,744.95,2.22638019076954
"Calisthenics, vigorous, pushups, situps…",472.94,562.74,654.71,744.74,2.45157105290487
"Calisthenics, vigorous, pushups, situps…",472.63,562.72,654.11,744.33,1.9618188782104
"Calisthenics, vigorous, pushups, situps…",471.33,563.04,653.11,745.88,1.96706643092611
"Calisthenics, vigorous, pushups, situps…",471.82,562.15,654.28,745.16,2.36295713527406
"Calisthenics, vigorous, pushups, situps…",472.08,562.44,653.07,745.74,2.07339959482636
"Calisthenics, vigorous, pushups, situps…",472.74,563.59,653.55,745.47,2.01260701789997
"Calisthenics, vigorous, pushups, situps…",472.7,563.24,653.01,744.79,0.98972085200454
"Calisthenics, vigorous, pushups, situps…",471.33,562.01,654.99,744.86,2.52601606572351
"Calisthenics, vigorous, pushups, situps…",472.17,563.63,653.18,744.33,2.44111081115854
"Calisthenics, vigorous, pushups, situps…",471.84,562.75,653.54,744.85,0.87429584647152
"Calisthenics, vigorous, pushups, situps…",472.57,563.12,653.47,744.71,1.11507588254588
"Calisthenics, vigorous, pushups, situps…",471.14,562.7,654.97,744.67,1.01315339685586
"Calisthenics, vigorous, pushups, situps…",472.83,563.01,654.98,745.59,0.65653194056712
"Calisthenics, vigorous, pushups, situps…",471.0,563.68,653.35,744.21,1.93539507064866
"Calisthenics, vigorous, pushups, situps…",471.31,562.16,654.43,745.0,1.58650174896064
"Calisthenics, vigorous, pushups, situps…",471.52,562.91,654.35,745.45,2.13935331893522
"Calisthenics, vigorous, pushups, situps…",471.35,562.72,653.89,745.53,1.61844440366315
"Calisthenics, vigorous, pushups, situps…",471.73,562.87,654.5,745.12,1.50266071039379
"Calisthenics, vigorous, pushups, situps…",471.33,562.09,654.82,744.88,2.18248533297657
"Calisthenics, vigorous, pushups, situps…",471.36,562.51,654.63,744.97,2.53702348801078
"Calisthenics, vigorous, pushups, situps…",471.24,563.59,654.79,745.2,2.36250003580416
"Calisthenics, vigorous, pushups, situps…",471.45,563.93,654.53,745.33,1.84237968761913
"Calisthenics, vigorous, pushups, situps…",472.21,563.63,653.36,744.21,1.63876376566548
"Calisthenics, vigorous, pushups, situps…",471.41,563.96,654.77,745.93,2.36730265831444
"Calisthenics, vigorous, pushups, situps…",472.65,562.37,654.54,745.91,1.50434904126974
"Calisthenics, vigorous, pushups, situps…",472.65,563.52,653.01,746.0,1.50205681416034
"Calisthenics, vigorous, pushups, situps…",472.17,563.76,654.52,744.46,0.99036524082988
"Calisthenics, vigorous, pushups, situps…",472.14,563.27,654.96,745.51,0.78192839288545
"Calisthenics, vigorous, pushups, situps…",471.74,562.69,654.6,745.08,2.30594737663494
"Calisthenics, vigorous, pushups, situps…",472.5,562.38,654.01,744.77,0.80077594643563
"Calisthenics, vigorous, pushups, situps…",471.98,562.06,653.35,745.72,1.97179261096445
"Calisthenics, vigorous, pushups, situps…",472.11,562.63,653.0,745.92,1.57146375686389
"Calisthenics, vigorous, pushups, situps…",472.96,562.68,654.06,745.26,2.1626981015008
"Calisthenics, vigorous, pushups, situps…",471.56,563.35,654.65,745.86,1.57496789989736
"Calisthenics, vigorous, pushups, situps…",472.86,563.88,653.72,745.57,0.67461608927544
"Calisthenics, vigorous, pushups, situps…",471.97,563.48,653.0,744.21,1.81171546343559
"Calisthenics, vigorous, pushups, situps…",471.54,563.43,654.64,745.47,1.22822446137932
"Calisthenics, vigorous, pushups, situps…",471.66,563.63,653.72,744.44,2.17517354097321
"Calisthenics, vigorous, pushups, situps…",472.65,563.21,654.29,744.59,1.63643935235754
"Calisthenics, vigorous, pushups, situps…",472.94,563.53,653.39,744.08,0.92647514347007
"Calisthenics, vigorous, pushups, situps…",471.58,562.12,653.68,744.91,1.1257367774365
"Calisthenics, vigorous, pushups, situps…",471.65,562.88,653.81,745.92,2.39773145068252
"Calisthenics, vigorous, pushups, situps…",471.44,562.25,653.67,744.23,1.91666814461792
"Calisthenics, vigorous, pushups, situps…",471.4,563.94,653.58,744.69,1.44260820282729
"Calisthenics, vigorous, pushups, situps…",472.49,563.1,653.08,744.21,1.40305161329621
"Calisthenics, vigorous, pushups, situps…",472.05,563.62,654.16,744.14,1.11730121424573
"Calisthenics, vigorous, pushups, situps…",472.82,562.84,653.9,745.79,1.02144864693544
"Calisthenics, vigorous, pushups, situps…",472.03,563.49,654.0,745.72,2.56035151832344
"Calisthenics, vigorous, pushups, situps…",472.13,563.5,654.05,745.49,0.69394066691798
"Calisthenics, vigorous, pushups, situps…",472.48,562.82,654.84,744.04,1.84389610717249
"Calisthenics, vigorous, pushups, situps…",471.71,563.94,654.14,744.16,0.73745782820388
"Calisthenics, vigorous, pushups, situps…",471.57,563.89,653.16,745.63,1.28199021302383
"Calisthenics, vigorous, pushups, situps…",471.91,563.91,654.99,745.68,1.28876015760785
"Calisthenics, vigorous, pushups, situps…",471.84,563.46,653.5,744.35,2.04302800685594
"Calisthenics, vigorous, pushups, situps…",472.58,563.64,653.13,744.69,0.77453360618033
"Calisthenics, vigorous, pushups, situps…",472.11,563.45,653.62,744.38,2.58921646729446
"Calisthenics, vigorous, pushups, situps…",471.17,562.31,653.99,745.04,2.38917448568672
"Calisthenics, vigorous, pushups, situps…",471.13,563.75,653.69,744.61,1.93013217729617
"Calisthenics, vigorous, pushups, situps…",472.83,563.84,653.81,745.72,1.98167013512176
"Calisthenics, vigorous, pushups, situps…",472.92,563.51,654.35,745.62,1.04058713741301
"Calisthenics, vigorous, pushups, situps…",471.79,562.41,653.61,745.63,2.16632662067183
"Calisthenics, vigorous, pushups, situps…",472.58,562.96,654.43,745.68,0.67425823070135
"Calisthenics, vigorous, pushups, situps…",471.01,563.34,654.42,745.19,2.52668402701349
"Calisthenics, vigorous, pushups, situps…",471.26,562.48,654.78,745.75,1.85250445684191
"Calisthenics, vigorous, pushups, situps…",471.45,563.37,654.65,745.88,1.54848173533279
"Calisthenics, vigorous, pushups, situps…",471.21,563.65,654.27,745.57,1.02514048506587
"Calisthenics, vigorous, pushups, situps…",471.17,563.74,653.21,745.32,1.90217725009061
"Calisthenics, vigorous, pushups, situps…",471.32,563.5,653.25,745.79,1.6950856638979
"Calisthenics, vigorous, pushups, situps…",471.45,562.55,654.93,745.14,2.23348594404808
"Calisthenics, vigorous, pushups, situps…",472.97,562.82,653.47,745.81,2.06122247299077
"Calisthenics, vigorous, pushups, situps…",471.31,563.35,654.41,744.2,1.69310075071659
"Calisthenics, vigorous, pushups, situps…",472.78,563.26,653.45,745.64,1.41079459189842
"Calisthenics, vigorous, pushups, situps…",471.56,562.94,653.42,745.15,0.65108438320889
"Calisthenics, vigorous, pushups, situps…",472.92,563.58,654.41,745.29,1.66682828743261
"Calisthenics, vigorous, pushups, situps…",471.36,563.57,653.82,744.48,1.41016039591913
"Calisthenics, vigorous, pushups, situps…",472.41,562.48,654.95,744.34,1.78860657910501
"Calisthenics, vigorous, pushups, situps…",472.03,562.23,653.16,745.71,2.40717209465876
"Calisthenics, vigorous, pushups, situps…",471.28,562.62,653.68,744.44,2.50517752186471
"Calisthenics, vigorous, pushups, situps…",471.72,563.27,654.58,745.15,1.13322667485257
"Calisthenics, vigorous, pushups, situps…",471.97,562.36,654.93,744.8,1.19340468929045
"Calisthenics, vigorous, pushups, situps…",472.38,563.17,654.84,744.96,2.37223166209361
"Calisthenics, vigorous, pushups, situps…",472.44,563.22,654.35,745.84,1.87847960741042
"Calisthenics, vigorous, pushups, situps…",472.63,563.78,653.29,744.24,2.1806045608485
"Calisthenics, vigorous, pushups, situps…",471.59,563.01,654.55,745.3,1.5701981311188
"Calisthenics, vigorous, pushups, situps…",472.01,563.32,654.59,744.74,1.88863340769481
"Calisthenics, vigorous, pushups, situps…",472.07,563.0,654.85,744.96,2.57125790603359
"Calisthenics, vigorous, pushups, situps…",472.0,563.92,653.89,744.09,2.14760048431565
"Calisthenics, vigorous, pushups, situps…",471.51,563.68,653.91,744.74,1.09624144323435
"Calisthenics, vigorous, pushups, situps…",471.02,563.16,653.23,744.13,2.0311863902676
"Calisthenics, vigorous, pushups, situps…",472.76,563.58,653.47,745.98,0.66627868861483
"Calisthenics, vigorous, pushups, situps…",471.03,563.03,653.55,744.57,2.43299479319229
"Calisthenics, vigorous, pushups, situps…",471.8,562.69,654.33,745.65,2.00224182780295
"Calisthenics, vigorous, pushups, situps…",471.4,563.33,654.81,744.2,1.89179523288819
"Calisthenics, vigorous, pushups, situps…",471.29,562.4,654.37,744.71,1.52773227081431
"Calisthenics, vigorous, pushups, situps…",471.2,562.83,653.95,744.05,2.25402557986951
"Calisthenics, vigorous, pushups, situps…",471.3,563.83,653.42,744.61,2.37380302074389
"Calisthenics, vigorous, pushups, situps…",472.03,563.63,653.71,745.48,1.38210182581532
"Calisthenics, vigorous, pushups, situps…",472.84,563.26,653.4,744.39,0.96508202636058
"Calisthenics, vigorous, pushups, situps…",472.94,563.15,653.37,745.99,1.0655413671568
"Calisthenics, vigorous, pushups, situps…",471.88,562.07,653.67,745.47,0.89548711985832
"Calisthenics, vigorous, pushups, situps…",472.67,562.14,654.04,745.05,1.96157569617398
"Calisthenics, vigorous, pushups, situps…",471.43,563.78,653.78,744.55,1.11239271633658
"Calisthenics, vigorous, pushups, situps…",471.9,562.5,653.84,745.92,1.36190015191742
"Calisthenics, vigorous, pushups, situps…",472.83,563.06,653.94,745.15,1.27347141013235
"Calisthenics, vigorous, pushups, situps…",472.4,562.88,654.67,744.85,2.20715602873611
"Calisthenics, vigorous, pushups, situps…",471.19,563.54,654.78,744.75,0.89866989038746
"Calisthenics, vigorous, pushups, situps…",472.46,563.7,653.38,745.59,2.18783520448985
"Calisthenics, vigorous, pushups, situps…",472.4,563.84,653.4,745.81,0.88821728404549
"Calisthenics, vigorous, pushups, situps…",472.02,562.05,654.42,745.16,1.98963054680145
"Calisthenics, vigorous, pushups, situps…",471.36,562.07,653.56,745.18,2.52551662222757
"Calisthenics, vigorous, pushups, situps…",472.33,562.28,655.0,744.71,2.16686830152094
"Calisthenics, vigorous, pushups, situps…",471.23,562.45,653.15,744.54,0.85255628075958
"Calisthenics, vigorous, pushups, situps…",472.8,562.29,653.69,745.37,1.38612703644983
"Calisthenics, vigorous, pushups, situps…",472.35,562.29,654.89,744.09,1.59799288600258
"Calisthenics, vigorous, pushups, situps…",472.44,562.95,653.41,744.83,2.43666845979909
"Calisthenics, vigorous, pushups, situps…",472.08,562.5,653.83,744.96,1.48194259362791
"Calisthenics, vigorous, pushups, situps…",472.51,563.69,654.59,744.92,2.15205861459269
"Calisthenics, vigorous, pushups, situps…",471.3,563.49,653.5,745.01,1.01670651645201
"Calisthenics, vigorous, pushups, situps…",471.58,562.49,654.36,744.64,1.86935980723657
"Calisthenics, vigorous, pushups, situps…",472.49,563.14,653.82,745.05,0.77012942125582
"Calisthenics, vigorous, pushups, situps…",472.56,562.0,653.65,745.04,2.40605731670344
"Calisthenics, vigorous, pushups, situps…",471.42,562.74,653.63,745.37,2.51781074016998
"Calisthenics, vigorous, pushups, situps…",471.96,563.87,653.34,744.67,0.82140023174915
"Calisthenics, vigorous, pushups, situps…",471.92,562.37,654.19,745.17,1.94770068854048
"Calisthenics, vigorous, pushups, situps…",471.09,562.71,653.01,745.49,2.38200773456332
"Calisthenics, vigorous, pushups, situps…",471.06,562.1,654.65,744.26,0.80473323035162
"Calisthenics, vigorous, pushups, situps…",472.24,563.09,653.38,745.78,2.3520920806308
"Calisthenics, vigorous, pushups, situps…",471.39,563.71,653.69,745.32,1.76986699626678
"Calisthenics, vigorous, pushups, situps…",472.38,562.83,653.58,744.87,2.05649961691415
"Calisthenics, vigorous, pushups, situps…",471.41,562.14,653.76,744.05,1.25861659741025
"Calisthenics, vigorous, pushups, situps…",472.79,562.07,653.48,745.96,1.87185583287991
"Calisthenics, vigorous, pushups, situps…",471.38,562.21,654.01,744.1,2.15583565275523
"Calisthenics, vigorous, pushups, situps…",471.44,563.39,653.71,744.22,1.78417347112934
"Calisthenics, vigorous, pushups, situps…",472.04,562.81,653.12,744.52,1.96190630355505
"Calisthenics, vigorous, pushups, situps…",472.67,562.69,654.41,744.12,0.82966606242228
"Calisthenics, vigorous, pushups, situps…",471.37,563.21,654.17,744.0,1.44582278018785
"Calisthenics, vigorous, pushups, situps…",472.2,562.71,654.18,744.84,0.83409036719705
"Calisthenics, vigorous, pushups, situps…",471.84,563.96,653.53,745.71,1.29338403383996
"Calisthenics, vigorous, pushups, situps…",472.96,563.51,653.24,745.84,0.74174846169743
"Calisthenics, vigorous, pushups, situps…",471.78,563.41,653.47,745.49,2.37503312341406
"Calisthenics, vigorous, pushups, situps…",472.63,562.41,653.92,744.42,1.43355135205805
"Calisthenics, vigorous, pushups, situps…",472.14,562.68,653.74,744.06,2.61726222272381
"Calisthenics, vigorous, pushups, situps…",472.81,563.68,654.45,745.65,2.34745070947458
"Calisthenics, vigorous, pushups, situps…",472.53,563.49,653.31,745.66,1.52456665384353
"Calisthenics, vigorous, pushups, situps…",472.24,562.45,654.45,745.5,2.59138807148851
"Calisthenics, vigorous, pushups, situps…",472.33,562.94,653.22,745.64,1.92779282984829
"Calisthenics, vigorous, pushups, situps…",471.29,562.2,653.01,744.5,2.23215676470342
"Calisthenics, vigorous, pushups, situps…",472.65,562.03,653.44,745.97,0.79079449555109
"Calisthenics, vigorous, pushups, situps…",472.83,562.68,654.31,744.94,0.80706920459526
"Calisthenics, vigorous, pushups, situps…",472.45,563.86,654.45,744.06,0.91361682491918
"Calisthenics, vigorous, pushups, situps…",471.29,563.03,653.26,744.74,2.19782538876162
"Calisthenics, vigorous, pushups, situps…",472.52,563.39,654.54,744.95,2.34915727615631
"Calisthenics, vigorous, pushups, situps…",472.09,563.17,653.46,745.74,1.87863641363928
"Calisthenics, vigorous, pushups, situps…",471.71,563.53,654.46,745.22,1.83302024149366
"Calisthenics, vigorous, pushups, situps…",471.89,562.45,653.91,745.35,1.00145474483074
"Calisthenics, vigorous, pushups, situps…",471.35,563.9,654.07,745.36,1.65676551122904
"Calisthenics, vigorous, pushups, situps…",472.78,563.39,654.46,744.06,1.64351175066246
"Calisthenics, vigorous, pushups, situps…",471.51,562.16,653.09,744.96,2.28841691827358
"Calisthenics, vigorous, pushups, situps…",472.13,563.28,653.35,744.07,1.44386623839495
"Calisthenics, vigorous, pushups, situps…",471.37,562.32,654.0,745.81,0.73326301818244
"Calisthenics, vigorous, pushups, situps…",472.28,562.27,654.91,745.32,1.19803421734719
"Calisthenics, vigorous, pushups, situps…",471.2,563.09,654.65,744.73,1.73716466477335
"Calisthenics, vigorous, pushups, situps…",471.83,563.43,653.15,744.06,1.66945750006317
"Calisthenics, vigorous, pushups, situps…",471.84,563.04,654.17,745.81,1.48443547471389
"Calisthenics, vigorous, pushups, situps…",472.07,562.46,653.43,745.44,0.66228717411499
"Calisthenics, vigorous, pushups, situps…",472.4,562.28,654.7,744.15,1.0834860852411
"Calisthenics, vigorous, pushups, situps…",471.66,563.05,654.48,744.62,2.15768075485173
"Calisthenics, vigorous, pushups, situps…",472.69,562.83,654.61,744.91,1.63584466522047
"Calisthenics, vigorous, pushups, situps…",472.9,563.51,654.27,745.26,1.96218129444299
"Calisthenics, vigorous, pushups, situps…",471.61,562.22,653.96,745.0,1.52174647634984
"Calisthenics, vigorous, pushups, situps…",471.97,562.25,653.53,744.6,2.19786537171994
"Calisthenics, vigorous, pushups, situps…",472.44,563.16,654.94,744.39,2.39458214373489
"Calisthenics, vigorous, pushups, situps…",472.72,563.78,654.94,745.84,2.0355619690526
"Calisthenics, vigorous, pushups, situps…",471.04,563.53,654.95,744.88,0.81338439395127
"Calisthenics, vigorous, pushups, situps…",471.02,563.76,654.41,745.05,1.11099290265722
"Calisthenics, vigorous, pushups, situps…",471.69,562.72,653.96,745.34,1.06352688857364
"Calisthenics, vigorous, pushups, situps…",472.01,563.92,653.89,745.4,1.35338136032361
"Calisthenics, vigorous, pushups, situps…",472.3,563.8,653.97,744.41,1.61171445801811
"Calisthenics, vigorous, pushups, situps…",472.77,562.67,654.72,744.58,2.38376006423231
"Calisthenics, vigorous, pushups, situps…",471.67,563.96,654.4,745.06,1.25374982754974
"Calisthenics, vigorous, pushups, situps…",471.87,563.99,654.17,744.52,1.93735161362626
"Calisthenics, vigorous, pushups, situps…",472.92,562.22,654.28,744.96,2.16217685193134
"Calisthenics, vigorous, pushups, situps…",472.0,563.0,654.77,745.74,1.54949889611725
"Calisthenics, vigorous, pushups, situps…",471.95,562.65,654.33,745.58,2.32855880130871
"Calisthenics, vigorous, pushups, situps…",472.62,562.4,653.5,744.28,1.84692533692123
"Calisthenics, vigorous, pushups, situps…",472.37,563.0,654.86,745.29,2.57920076045003
"Calisthenics, vigorous, pushups, situps…",471.17,562.44,653.41,744.53,2.04938955299985
"Calisthenics, vigorous, pushups, situps…",471.75,563.55,654.93,745.57,0.79519958721444
"Calisthenics, vigorous, pushups, situps…",471.27,563.22,654.96,744.6,1.04790695727717
"Calisthenics, vigorous, pushups, situps…",471.43,563.83,653.89,744.61,2.03369905559496
"Calisthenics, vigorous, pushups, situps…",471.38,563.64,653.9,744.85,1.92424057288894
"Calisthenics, vigorous, pushups, situps…",472.45,563.28,653.53,744.69,0.91331450095078
"Calisthenics, vigorous, pushups, situps…",471.31,563.89,653.36,744.13,0.85085813492568
"Calisthenics, vigorous, pushups, situps…",472.0,562.84,653.01,744.85,2.39303955264113
"Calisthenics, vigorous, pushups, situps…",472.59,562.33,653.87,744.61,0.83317369497499
"Calisthenics, vigorous, pushups, situps…",471.19,563.41,654.81,745.83,2.24674021144134
"Calisthenics, vigorous, pushups, situps…",472.75,562.53,654.39,744.89,1.74894207584978
"Calisthenics, vigorous, pushups, situps…",471.29,563.84,654.22,745.95,1.19614211300496
"Calisthenics, vigorous, pushups, situps…",471.93,563.46,653.53,744.86,2.34528638521573
"Calisthenics, vigorous, pushups, situps…",472.52,562.68,653.4,744.87,2.21114083580889
"Calisthenics, vigorous, pushups, situps…",471.21,562.15,653.88,744.17,1.15828300030484
"Calisthenics, vigorous, pushups, situps…",472.52,563.55,654.87,745.77,1.12969616419692
"Calisthenics, vigorous, pushups, situps…",472.81,563.64,653.83,744.43,1.19668917968858
"Calisthenics, vigorous, pushups, situps…",472.47,562.51,654.32,744.82,2.43124304294603
"Calisthenics, vigorous, pushups, situps…",471.54,563.86,654.47,745.28,2.50559176693649
"Calisthenics, vigorous, pushups, situps…",472.22,562.02,654.51,744.88,0.75849965924386
"Calisthenics, vigorous, pushups, situps…",471.34,562.24,653.82,744.8,0.991056797382
"Calisthenics, vigorous, pushups, situps…",471.36,563.78,653.5,744.84,2.4888726691608
"Calisthenics, vigorous, pushups, situps…",471.12,562.39,653.85,745.76,1.88603330315189
"Calisthenics, vigorous, pushups, situps…",471.93,562.39,653.41,745.48,2.01517999260666
"Calisthenics, vigorous, pushups, situps…",472.85,562.54,653.58,744.43,1.40708584093472
"Calisthenics, vigorous, pushups, situps…",472.51,562.29,654.64,744.0,2.4542755386088
"Calisthenics, vigorous, pushups, situps…",471.7,563.98,654.4,744.44,1.10168620039077
"Calisthenics, vigorous, pushups, situps…",472.99,562.76,654.15,745.82,1.38402850475081
"Calisthenics, vigorous, pushups, situps…",471.4,563.93,654.66,744.87,1.53655018337551
"Calisthenics, vigorous, pushups, situps…",472.57,563.38,653.19,744.5,1.15348652785539
"Calisthenics, vigorous, pushups, situps…",472.75,562.44,653.59,744.96,1.44840722305675
"Calisthenics, vigorous, pushups, situps…",471.7,562.08,654.71,745.43,1.69294534255672
"Calisthenics, vigorous, pushups, situps…",471.23,563.28,653.62,745.37,2.16992207983193
"Calisthenics, vigorous, pushups, situps…",472.52,562.37,653.87,745.44,2.32275820994642
"Calisthenics, vigorous, pushups, situps…",472.99,562.46,654.51,744.16,1.16087444086831
"Calisthenics, vigorous, pushups, situps…",471.29,562.36,654.15,745.19,1.80754839583209
"Calisthenics, vigorous, pushups, situps…",472.78,563.39,654.94,745.77,2.58138937744583
"Calisthenics, vigorous, pushups, situps…",471.4,563.62,653.44,745.87,0.73305463682079
"Calisthenics, vigorous, pushups, situps…",472.68,563.16,653.02,745.46,2.06075640946062
"Calisthenics, vigorous, pushups, situps…",471.11,563.67,653.29,745.43,1.75562686155004
"Calisthenics, vigorous, pushups, situps…",471.52,563.91,653.35,745.75,1.02469711495315
"Calisthenics, vigorous, pushups, situps…",471.69,563.72,653.02,744.59,2.07404101395292
"Calisthenics, vigorous, pushups, situps…",472.72,563.25,654.34,745.61,2.48814715722975
"Calisthenics, vigorous, pushups, situps…",471.63,562.56,654.73,745.61,1.39566798442098
"Calisthenics, vigorous, pushups, situps…",471.38,562.89,653.29,745.78,2.36145656227758
"Calisthenics, vigorous, pushups, situps…",472.9,562.38,653.16,744.44,0.88437343701083
"Calisthenics, vigorous, pushups, situps…",472.6,563.11,653.48,745.01,2.36860689603483
"Calisthenics, vigorous, pushups, situps…",472.8,562.19,654.16,745.82,1.425672231489
"Calisthenics, vigorous, pushups, situps…",471.54,563.47,654.93,744.9,1.02982972524737
"Calisthenics, vigorous, pushups, situps…",471.9,562.75,653.37,745.4,1.77762776865657
"Calisthenics, vigorous, pushups, situps…",472.82,562.65,654.0,745.49,2.30206870412781
"Calisthenics, vigorous, pushups, situps…",472.73,562.62,653.27,745.93,1.03293757984477
